date_added,hq,name,sector,symbol
,,,,
1957-03-04,,3M,Industrials,MMM
2017-07-26,,A. O. Smith,Industrials,AOS
1957-03-04,,Abbott Laboratories,Health Care,ABT
2012-12-31,,AbbVie,Health Care,ABBV
2011-07-06,,Accenture,Information Technology,ACN
1997-05-05,,Adobe Inc.,Information Technology,ADBE
2017-03-20,,Advanced Micro Devices,Information Technology,AMD
1998-10-02,,AES Corporation,Utilities,AES
1999-05-28,,Aflac,Financials,AFL
2000-06-05,,Agilent Technologies,Health Care,A
1985-04-30,,Air Products,Materials,APD
2023-09-18,,Airbnb,Consumer Discretionary,ABNB
2007-07-12,,Akamai Technologies,Information Technology,AKAM
2016-07-01,,Albemarle Corporation,Materials,ALB
2017-03-20,,Alexandria Real Estate Equities,Real Estate,ARE
2017-06-19,,Align Technology,Health Care,ALGN
2013-12-02,,Allegion,Industrials,ALLE
2016-07-01,,Alliant Energy,Utilities,LNT
1995-07-13,,Allstate,Financials,ALL
2014-04-03,,Alphabet Inc.,Communication Services,GOOGL
2006-04-03,,Alphabet Inc.,Communication Services,GOOG
1957-03-04,,Altria,Consumer Staples,MO
2005-11-18,,Amazon,Consumer Discretionary,AMZN
2019-06-07,", ",Amcor,Materials,AMCR
1991-09-19,,Ameren,Utilities,AEE
1957-03-04,,American Electric Power,Utilities,AEP
1976-06-30,,American Express,Financials,AXP
1980-03-31,,American International Group,Financials,AIG
2007-11-19,,American Tower,Real Estate,AMT
2016-03-04,,American Water Works,Utilities,AWK
2005-10-03,,Ameriprise Financial,Financials,AMP
2013-09-23,,Ametek,Industrials,AME
1992-01-02,,Amgen,Health Care,AMGN
2008-09-30,,Amphenol,Information Technology,APH
1999-10-12,,Analog Devices,Information Technology,ADI
2017-06-19,,Ansys,Information Technology,ANSS
1996-04-23,,Aon,Financials,AON
1997-07-28,,APA Corporation,Energy,APA
2024-12-23,,Apollo Global Management,Financials,APO
1982-11-30,,Apple Inc.,Information Technology,AAPL
1995-03-16,,Applied Materials,Information Technology,AMAT
2012-12-24,,Aptiv,Consumer Discretionary,APTV
2022-11-01,,Arch Capital Group,Financials,ACGL
1957-03-04,,Archer Daniels Midland,Consumer Staples,ADM
2018-08-28,,Arista Networks,Information Technology,ANET
2016-05-31,,Arthur J. Gallagher & Co.,Financials,AJG
2007-04-10,,Assurant,Financials,AIZ
1983-11-30,,AT&T,Communication Services,T
2019-02-15,,Atmos Energy,Utilities,ATO
1989-12-01,,Autodesk,Information Technology,ADSK
1981-03-31,,Automatic Data Processing,Industrials,ADP
1997-01-02,,AutoZone,Consumer Discretionary,AZO
2007-01-10,,AvalonBay Communities,Real Estate,AVB
1987-12-31,,Avery Dennison,Materials,AVY
2023-05-04,,Axon Enterprise,Industrials,AXON
2017-07-07,,Baker Hughes,Energy,BKR
1984-10-31,,Ball Corporation,Materials,BALL
1976-06-30,,Bank of America,Financials,BAC
1972-09-30,,Baxter International,Health Care,BAX
1972-09-30,,Becton Dickinson,Health Care,BDX
2010-02-16,,Berkshire Hathaway,Financials,BRK.B
1999-06-29,,Best Buy,Consumer Discretionary,BBY
2021-08-30,,Bio-Techne,Health Care,TECH
2003-11-13,,Biogen,Health Care,BIIB
2011-04-04,,BlackRock,Financials,BLK
2023-09-18,,Blackstone Inc.,Financials,BX
1995-03-31,,BNY Mellon,Financials,BK
1957-03-04,,Boeing,Industrials,BA
2009-11-06,,Booking Holdings,Consumer Discretionary,BKNG
2011-12-19,,BorgWarner,Consumer Discretionary,BWA
1995-02-24,,Boston Scientific,Health Care,BSX
1957-03-04,,Bristol Myers Squibb,Health Care,BMY
2014-05-08,,Broadcom,Information Technology,AVGO
2018-06-18,,Broadridge Financial Solutions,Industrials,BR
2021-09-20,,Brown & Brown,Financials,BRO
1982-10-31,,Brown–Forman,Consumer Staples,BF.B
2023-12-18,,Builders FirstSource,Industrials,BLDR
2023-03-15,,Bunge Global,Consumer Staples,BG
2006-04-03,,"BXP, Inc.",Real Estate,BXP
2007-03-02,,C.H. Robinson,Industrials,CHRW
2017-09-18,,Cadence Design Systems,Information Technology,CDNS
2021-03-22,,Caesars Entertainment,Consumer Discretionary,CZR
2022-04-04,,Camden Property Trust,Real Estate,CPT
1957-03-04,,Campbell Soup Company,Consumer Staples,CPB
1998-07-01,,Capital One,Financials,COF
